"Exercise.Name","Equipment","Preparation","Execution","Target_Muscles","Synergist_Muscles","Main_muscle"
"Retraction​​​​​​​","Stretch","Stand or sit.","Pull head back as far possible while looking slightly down and hold stretch.","Longus colli,","Splenius, Trapezius, Upper, Erector Spinae, Cervicis & Capitis Fibers,","Neck"
"Neck Extensor","Stretch","Bow head forward with jaw shut. Depress chin into top of sternum.","Slightly turn head to one side. Hold stretch. Repeat to other side.","Splenius,","Trapezius, Upper (Part 1), Erector Spinae, Cervicis & Capitis Fibers,","Neck"
"Doorway","Stretch","0","0","Deltoid, Anterior,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Biceps Brachii,","Shoulder"
"Wall","Stretch","0","0","Deltoid, Anterior,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Biceps Brachii,","Shoulder"
"Side Deltoid","Stretch","0","0","Deltoid, Lateral,","Infraspinatus, Teres Minor, Trapezius, Middle, Trapezius, Lower, Rhomboids,","Shoulder"
"Rear Deltoid","Stretch","0","0","Deltoid, Posterior,","Infraspinatus, Teres Minor, Trapezius, Middle, Trapezius, Lower, Rhomboids,","Shoulder"
"Overhead​​​​​​​","Stretch","Put one arm overhead. Position forearm as close as possible to upper arm. Grasp elbow overhead with other hand.","Pull elbow back and toward head. Hold stretch. Repeat with opposite arm.","Triceps, Long Head,","Latissimus Dorsi, Teres Major,","Upper Arms"
"Towel","Stretch","Grasp near end of towel or rope. Position towel behind head so towel dangles down behind body. Reach behind back or waist with opposite hand and grasp opposite end of towel. Position upper arm close to back side of head.","Pull towel downward with lower arm. Hold stretch. Repeat with opposite arm.","Triceps, Long Head,","Latissimus Dorsi, Teres Major,","Upper Arms"
"Doorway","Stretch","Stand at end of wall or in doorway facing perpendicular to wall. Position front of straight arm and palm on surface of wall. Situate arm around same height of shoulder with elbow positioned away from wall.","Turn body away from positioned arm. Hold stretch. Repeat with opposite arm.","Biceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor,","Upper Arms"
"Seated","Stretch","Sit on floor or mat. Lean back and place hands flat on floor close together behind body with fingers positioned away from body.","Scoot hips forward away from hands. Hold stretch.","Biceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular,","Upper Arms"
"Standing","Stretch","Cross wrists, point thumbs downward, and clasp hands.","Cross wrists, point thumbs downward, and clasp hands.","Brachioradialis,","0","Forearm"
"Seated​​​​​​​","Stretch","Sit on floor. Place palms on floor to sides, behind hips with fingers pointing to back.","Lean back with arms straight. Hold stretch.","Wrist Flexors,","0","Forearm"
"Kneeling","Stretch","Kneel on floor or mat. Place palms of hand on floor with fingers pointing toward knees.","Shift body back with elbows straight. Hold stretch.","Wrist Flexors,","0","Forearm"
"Kneeling","Stretch","Kneel on floor or mat. Flex wrists and place tops of hand on floor with fingers pointing toward knees.","Lean against floor with elbows straight. Hold stretch for 20 seconds.","Wrist Extensors,","0","Forearm"
"Single Arm","Stretch","With palm facing downward, pull wrist and fingers downward toward forearm.","Extend or straighten elbow. Hold stretch. Repeat with opposite arm.","Wrist Extensors,","0","Forearm"
"Fixed Bar","Stretch","Stand facing stationary bar. Grasp stationary bar with one hand approximately waist height.","Bend over allowing hips to fall back. Slightly lean torso toward stretched arm. Hold stretch. Repeat with opposite side.","Back, General,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Trapezius, Lower, Rhomboids, Infraspinatus, Teres Minor,","Back"
"Lever","Stretch","Sit on seat in forward position with lower legs on shin pad, feet on foot rest. Place hands through wrist straps. Hold upper bar with arms crossed, overhand grip.","Push and lower seat back. Hold stretch. Repeat with opposite arm position.","Back, General,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Trapezius, Lower, Rhomboids, Infraspinatus, Teres Minor, Erector Spinae,","Back"
"Bar","Stretch","Standing distance facing bar approximately lower chest height. Grasp bar with both hands. Lean body forward so bar is behind/under bar and arms are to sides of head. Feet are keep away from bar.","Allow upper body to hang downward while keeping arms to sides of head. Hold stretch.","Latissimus Dorsi,","Teres Major, Triceps,","Back"
"Lever","Stretch","Sit on seat in forward position with lower legs on shin pad, feet on foot rest. Place hands through wrist straps. Hold upper bar with underhand grip.","Push and lower seat back. Hold stretch.","Latissimus Dorsi,","Teres Major, Rhomboids, Erector Spinae,","Back"
"Overhead","Stretch","Put one arm overhead. Grasp elbow or wrist overhead with other hand.","Pull elbow toward head and back or pull arm down toward opposite shoulder. Lean torso to side, away from direction of arm behind head. Hold stretch. Repeat with opposite arm.","Latissimus Dorsi,","Teres Major,","Back"
"Supine Lat","Stretch","Lie supine on mat or floor. Position arms parallel to body pointing opposite direction of legs.","Pull arms toward floor and back sides of head. Hold stretch.","Latissimus Dorsi,","Teres Major,","Back"
"Standing Side Reach","Stretch","Stand with feet far apart. Place one arm on side of thigh. Put opposite arm overhead.","Lean and reach to side away from raised arm. Hold stretch. Repeat with opposite arm.","Latissimus Dorsi,","Teres Major,","Back"
"Upper Trapezius","Stretch","Grasp wrist or hand from behind and pull arm to opposite side.","Tilt head away from lowered shoulder by positioning ear toward front of opposite shoulder. Hold stretch. Repeat to other side.","Trapezius, Upper,","Splenius,","Back"
"Fixed Bar","Stretch  Fixed Bar Hugging","Stand facing very close to stationary bar. Grasp stationary bar with both hands just below chest height.","Lean back allowing body and hips to fall back and shoulders to be pulled forward. Hold stretch","Rhomboids,","Trapezius, Middle, Trapezius, Lower,","Back"
"Hugging","Stretch  Fixed Bar Hugging","Cross both arms and place both hands behind shoulders of opposite arms.","Bring elbows closer together in front of body. Raise elbows slightly and hold stretch.","Rhomboids,","Trapezius, Middle, Trapezius, Lower,","Back"
"Broomstick","Stretch","Grasp pole at one end and position overhead with other end of pole behind opposite arm. Grasp other end of pole with hand positioned below elbow. Position elbow of lower arm close to height of shoulder.","Pull upper end of pole forward so shoulder is internally rotated. Hold stretch. Repeat with opposite arm.","Teres Minor,","Infraspinatus,","Back"
"Side Lying","Stretch","Lie supine on mat or floor with knees bent approximately 90 degrees. Position hand under side of waist, palm down.","Allow legs and hips to fall to side of positioned arm. Hold stretch. Repeat on opposite side.","Infraspinatus,","Teres Minor, Serratus Anterior, Lower Fibers,","Back"
"Side Lying Teres Minor","Stretch","Lie down on side on mat or floor. Position arm on floor with bent elbow positioned forward on mat and hand above elbow. With other hand, grasp back of wrist.","Keeping elbow bend at a right angle, push forearm downward toward floor. Hold stretch. Repeat on opposite side.","Teres Minor,","Infraspinatus,","Back"
"Broomstick","StretchBroomstickDoorway","Grasp suspension handles and position bent elbows to each sides of waist.","Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.","Infraspinatus,","Teres Minor, Deltoid, Posterior, Trapezius, Middle, Trapezius, Lower, Rhomboids,","Back"
"Doorway","StretchBroomstickDoorway","Grasp suspension handles and position bent elbows to each sides of waist.","Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.","Infraspinatus,","Teres Minor, Deltoid, Posterior, Trapezius, Middle, Trapezius, Lower, Rhomboids,","Back"
"Behind Head","Stretch","Place hands behind head.","Pull elbows back further behind ears. Hold stretch.","Pectoralis Major, Sternal,","Pectoralis Minor,","Chest"
"Doorway","Stretch","Stand at end of wall or in doorway facing perpendicular to wall. Place inside of bent arm on surface of wall. Position bent elbow shoulder height.","Turn body away from positioned arm. Hold stretch. Repeat with opposite arm.","Pectoralis Major, Sternal,","Pectoralis Major, Clavicular, Pectoralis Minor,","Chest"
"Straight Arm","Stretch","With arm extended, position hand on fixed structure shoulder height.","Turn body away from positioned arm. Hold stretch. Repeat with opposite arm.","Pectoralis Major, Sternal,","Pectoralis Major, Clavicular, Pectoralis Minor,","Chest"
"Lying","Stretch","Lie on floor or mat. Bend knees with feet on floor. Cross lower leg over thigh of other leg. Grasp foot and knee with both hands.","Pull leg toward torso. Hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Lying:  Modified","Stretch","Instruct participant to lie on floor or mat. Kneel beside participant. Bend participant's knee and hip and rotate leg cross wise. Position outside of participant's knee on nearest shoulder with participants lower leg extended under arm. Position near ankle on participant's opposite lower leg.","Extend or place hands on mat to each side of participant. Push participant's leg by leaning toward participant. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Lying:  PNF","Stretch","Sit on floor with hip and thigh against wall. Lift back of legs up against wall by pivoting on hips and lying on back. Cross lower leg over thigh of straight leg.","Bend knee of straight leg while lowering heel on wall. Hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Lying Wall","Stretch","Sit on chair or bench with ankles positioned below knees. Cross lower leg over thigh of opposite leg.","Lean down, lowering torso toward thighs. Hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Seated","Stretch","Sit on chair or bench with ankles positioned below knees. Cross lower leg over thigh of opposite leg.","Lean down, lowering torso toward thighs. Hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Seated:  Chair","Stretch","Sit on floor or mat reclining back with support of both arms behind body. Bend knees approximately 90 degrees with feet on floor. Cross lower leg (just above ankle) over thigh of opposite leg.","Bring torso upright by walking hands closer to hips, keeping arms straight. Lean forward and hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Seated:  Floor

PNF","Stretch","Instruct participant to sit on floor or mat, reclining back with support of both arms behind body, and feet on floor and knees bent. Have them cross their lower leg (just above ankle) over thigh of opposite leg. Position chest on participant's back and grasp participant's lower knee and upper ankle.","Push participant's torso toward legs. Hold stretch. Repeat with legs in opposite position","Gluteus Maximus,","0","Hips"
"Squatting","Stretch","Stand toward fixed bar, approximately waist height. Grasp bar with both hands, arms extended. Bend knees and hips slightly. Cross lower leg over lower thigh of opposite leg.","Squat lower and lean forward toward crossed leg. Hold stretch . Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Lying Crossover","Stretch (Gluteus Medius & Minimus)","On floor or mat, lie supine with arms extended to sides. Lift one leg straight up.","Lower leg to opposite side toward hand. Hold stretch. Repeat with opposite side.","Gluteus Medius, Gluteus Minimus,","Obliques, Erector Spinae,","Hips"
"Lever:  Seated","Stretch","Sit on seat in forward position with lower leg on shin pad, feet on foot rest. Place hands through wrist straps. Hold lower bar with overhand grip.","Push and lower seat back. Hold stretch. Repeat with opposite leg.","Hamstrings","Erector Spinae, Rhomboids,","Thighs"
"Lever:  Lying","Stretch","Lie on bench with leg on padded lever and foot against horizontal bar.","Pull release lever. Keeping knee straight, pull rail so leg rises upward until mild stretch is felt. Hold stretch. Repeat with opposite leg.","Hamstrings","0","Thighs"
"Lying","Stretch","Lie on back and lift knee up. Grasp behind thigh near knee with both hands. Pull knee close to chest.","Extend knee while maintaining knee close to chest. Hold stretch. Repeat with opposite leg.","Hamstrings","0","Thighs"
"Lying:  PNF","Stretch","Instruct participant to lie on floor or mat. Kneel beside participant and extend participant's leg upward. Position back of participant's lower leg on nearest shoulder. Position near ankle on participant's opposite lower leg.","Push participant's leg close to participants chest. Place hands on floor with arms extended to control resistance. Repeat with opposite leg.","Hamstrings","0","Thighs"
"Seated","Stretch","Sit on floor or mat with knees straight.","Reach toward or beyond toes or bring torso toward legs. Hold stretch.","Hamstrings","Erector Spinae,","Thighs"
"Seated:  Single Leg","Stretch","Sit on floor or mat with legs apart and knees straight.","Reach toward one foot or bring torso toward one leg. Hold stretch for 20 seconds. Repeat with opposite leg.","Hamstrings","Erector Spinae,","Thighs"
"Seated Single Leg (Bench)","Stretch","Sit on bench. Place one leg on bench with knee straight.","Reach toward foot or bring torso toward leg on bench. Hold stretch. Repeat with opposite leg.","Hamstrings","Erector Spinae,","Thighs"
"Standing","Stretch","Stand and bend over with knees straight.","Reach toward toes or floor or bring torso toward legs. Hold stretch.","Hamstrings","Erector Spinae,","Thighs"
"Lever","Stretch","Sit on seat in forward position. Place hands through wrist straps. Hold lower bar with overhand grip. Position soles of feet together on top edge of shin pad.","Push and lower seat back. Hold stretch.","Adductors, Hip","0","Thighs"
"Seated Adductor Magnus Stretch (chair or bench)","Stretch","Instruct participant to lie on floor or mat. Ask them to place soles of feet together on floor close to body with knees apart. Kneel close to participant and place hands on insides of participant's knees.","Spread participant's legs down to sides and hold stretch.","Adductors, Hip","0","Thighs"
"Lying Wall Groin","Stretch","Sit on floor with hip and thigh against wall. Lift back of legs up against wall by pivoting on hips and lying on back. Place back of legs against wall.","Spread legs. Hold stretch.","Adductors, Hip","0","Thighs"
"Seated Groin","Stretch","Sit on floor or mat with soles of feet together on floor and close to body. Grasp feet with both hands and position elbows on inside of lower legs.","Press knees toward floor with elbows. Hold stretch.","Adductors, Hip","0","Thighs"
"Seated Groin:  Apparatus","Stretch","Sit on platform facing adjustable handles. Spread legs apart and place inside of legs on outer surface of padded stumps. Straighten knees, grasp handles, and sit upright","Straighten back and pull legs further apart by pulling on handles. Hold stretch.","Adductors, Hip","0","Thighs"
"Seated Groin:  Chair or Bench","Stretch","Sit on end of chair or bench. Place legs as far apart as possible with knees bent approximately 90 degrees and feet flat on floor pointing same direction as knees. Lean over and position upper forearms inside lower thighs near knees.","Lean forward more while pushing thighs apart. Hold stretch.","Adductors, Hip","0","Thighs"
"Seated Groin:  Lever","Stretch","Sit on apparatus with each leg on adjacent platforms.","Separate legs apart by turning knob. Lean forward slightly and grasp forward bar if available. Hold stretch.","Adductors, Hip","0","Thighs"
"Side Lunge","Stretch","Stand with feet far apart, toes pointed 45° outward.","Lunge toward one side. Allow foot of straight leg to point upward with heel on floor. Hold stretch. Repeat on opposite leg.","Adductors, Hip","0","Thighs"
"Kneeling","Stretch","Kneel with one foot on floor or mat. Position torso to inside of upper thigh with hands on floor.","Lower torso downward. Hold stretch.","Adductor Magnus, ischial fibers","0","Thighs"
"Lying","Stretch","Lie supine on floor or mat. Raise knees and grasp back of thighs behind knees","Pull knee toward shoulders or to side of torso while keeping opposite leg on floor. Hold stretch.","Adductor Magnus, ischial fibers","0","Thighs"
"Seated Adductor Magnus Stretch (chair or bench)","Stretch","Straddle and sit on chair or bench with feet far apart and feet on floor.","Lean forward placing finger tips or hands on floor if possible. Allow torso to be lowered downward and hold stretch.","Adductor Magnus, ischial fibers","0","Thighs"
"Seated Single Leg","Stretch","Sit on floor or mat and place outside of flexed leg on floor. Over that leg, position opposite leg with foot flat on floor and back of heel against shin.Stand and step forward with left foot.","Other heads of hip adductors can be stretched if knee of upper leg travels out to side during stretch.Standing on left foot, position right foot behind and grasp it with right hand. Pull right heel toward right glute while pulling right knee down and back. Release right foot, step forward with right foot, and repeat on left side while standing on right foot. Continue by alternating between each side until specific distance is covered or desired number of repetitions have been completed.","Adductor Magnus, ischial fibers","0","Thighs"
"Walking Quadriceps Stretch","Dynamic Stretch","0","0","Rectus Femoris,","Quadriceps,","Thighs"
"Soldier Kick","Dynamic Stretch","0","0","Hamstrings,","Erector Spinae,","Thighs"
"Floor Board","Stretch","Face wall with both knees slightly bent. Position fore foot on wall with heel on floor.","Straighten knees and lean body toward wall. Hold stretch . Repeat with opposite leg.","Gastrocnemius,","0","Calves"
"Pike","Stretch","From standing position, bend over and walk forward on hands with bent knees. Straighten knees until feet are flat on floor.","From standing position, bend over and walk forward on hands with bent knees. Straighten knees until feet are flat on floor.","Gastrocnemius (hands further away from feet),","Hamstrings (hands closer to feet),","Calves"
"Step","Stretch","Position toes and balls of feet on stair step or calf block with arches and heels extending off. Use railing or wall for balance.","With knees straight, shift body weight to one foot. Hold stretch. Repeat with opposite leg.","Gastrocnemius,","0","Calves"
"Wall","Stretch","Place both hands on wall with arms extended. Lean against wall with one leg bent forward and other leg extended back with knee straight and foot positioned directly forward.","Push rear heal to floor and move hips slightly forward. Hold stretch. Repeat with opposite leg.","Gastrocnemius,","0","Calves"
"Floor Board","Stretch","Face wall with both knees slightly bent. Position fore foot on wall with heel on floor.","Straighten knee of rear leg and lean body toward wall. Hold stretch. Repeat with opposite leg.","Soleus,","0","Calves"
"Step","Stretch","Position toes and balls of feet on stair step or calf block with arches and heels extending off. Place support leg up to higher steps. Use railing or wall for balance. Bend rear knee.","Allow rear heel to lower below step. Hold stretch for 20 seconds. Repeat with opposite leg.","Soleus,","0","Calves"
"Wall","Stretch","Lower knee until just before heel raises. Hold stretch for 20 seconds. Repeat with opposite leg.","Place both hands on wall with arms extended. Lean against wall with one leg bent forward and other leg extended back. Bend rear knee slightly, positioned foot directly forward, and place heal to floor.","Soleus,","0","Calves"
"Kneeling","Stretch","Kneel on both knees with buttocks over both heels and feet extend back.","Sit down on or toward heels. Hold stretch.","Tibialis Anterior,","Quadriceps,","Calves"
"Standing","Stretch","Stand and touch wall or stationary object for balance. Grasp forefoot behind.","Pull forefoot to lower back. Hold stretch. Repeat with opposite side.","Tibialis Anterior,","Quadriceps,","Calves"
